Workflow ID;Anbieter;Durchlauf ID;Detektionsdauer (in ms);Umschreibedauer (in ms);Bereich 1;Bereich 2;Bereich 3;Bereich 4;Bereich 5;Bereich 6;;Median aus 100 Durchläufen;Workflow ID;Anbieter;Detektionsdauer (in ms);Umschreibedauer (in ms)
1;AWS;3;332;102651;57629;45022;;;;;;;;;;
1;AWS;4;313;107700;66322;41378;;;;;;;;;;
1;AWS;5;320;116729;70999;45730;;;;;;;;;;
1;AWS;6;362;107651;61333;46318;;;;;;;;;;
1;AWS;7;367;116570;67860;48710;;;;;;;;;;
1;AWS;8;340;112695;67545;45150;;;;;;;;;;
1;AWS;9;315;114507;65997;48510;;;;;;;;;;
1;AWS;10;370;111691;70313;41378;;;;;;;;;;
1;AWS;11;315;114037;67018;47019;;;;;;;;;;
1;AWS;12;341;107604;65688;41916;;;;;;;;;;
1;AWS;13;297;115524;71675;43849;;;;;;;;;;
1;AWS;14;356;111608;66408;45200;;;;;;;;;;
1;AWS;15;295;111600;68740;42860;;;;;;;;;;
1;AWS;16;309;110216;65845;44371;;;;;;;;;;
1;AWS;17;333;100880;60817;40063;;;;;;;;;;
1;AWS;18;349;119477;71582;47895;;;;;;;;;;
1;AWS;19;327;117499;70349;47150;;;;;;;;;;
1;AWS;20;311;113985;65268;48717;;;;;;;;;;
1;AWS;21;303;104592;62185;42407;;;;;;;;;;
1;AWS;22;275;108803;68571;40232;;;;;;;;;;
1;AWS;23;331;113785;65292;48493;;;;;;;;;;
1;AWS;24;360;99673;57825;41848;;;;;;;;;;
1;AWS;25;329;107146;64180;42966;;;;;;;;;;
1;AWS;26;337;101256;59820;41436;;;;;;;;;;
1;AWS;27;316;119826;71299;48527;;;;;;;;;;
1;AWS;28;343;104689;62811;41878;;;;;;;;;;
1;AWS;29;346;109964;62066;47898;;;;;;;;;;
1;AWS;30;323;106742;62695;44047;;;;;;;;;;
1;AWS;31;286;113803;65558;48245;;;;;;;;;;
1;AWS;32;314;111480;69991;41489;;;;;;;;;;
1;AWS;33;341;105341;64517;40824;;;;;;;;;;
1;AWS;34;325;107586;65122;42464;;;;;;;;;;
1;AWS;35;286;119315;70977;48338;;;;;;;;;;
1;AWS;36;326;110223;66665;43558;;;;;;;;;;
1;AWS;37;294;108808;60289;48519;;;;;;;;;;
1;AWS;38;291;112587;65938;46649;;;;;;;;;;
1;AWS;39;278;108935;61212;47723;;;;;;;;;;
1;AWS;40;323;107108;60875;46233;;;;;;;;;;
1;AWS;41;298;108754;67741;41013;;;;;;;;;;
1;AWS;42;274;107691;59227;48464;;;;;;;;;;
1;AWS;43;368;108914;61285;47629;;;;;;;;;;
1;AWS;44;310;101549;59527;42022;;;;;;;;;;
1;AWS;45;290;117830;69416;48414;;;;;;;;;;
1;AWS;46;286;106992;66618;40374;;;;;;;;;;
1;AWS;47;310;110685;69035;41650;;;;;;;;;;
1;AWS;48;297;106640;66003;40637;;;;;;;;;;
1;AWS;49;291;108114;65739;42375;;;;;;;;;;
1;AWS;50;310;107870;66618;41252;;;;;;;;;;
1;AWS;51;287;101023;57538;43485;;;;;;;;;;
1;AWS;52;307;106641;65545;41096;;;;;;;;;;
1;AWS;53;349;106528;62644;43884;;;;;;;;;;
1;AWS;54;299;105164;61079;44085;;;;;;;;;;
1;AWS;55;300;113373;69897;43476;;;;;;;;;;
1;AWS;56;304;110851;68210;42641;;;;;;;;;;
1;AWS;57;338;104779;64744;40035;;;;;;;;;;
1;AWS;58;287;110982;63966;47016;;;;;;;;;;
1;AWS;59;313;106464;64321;42143;;;;;;;;;;
1;AWS;60;357;109938;66782;43156;;;;;;;;;;
1;AWS;61;303;108704;62193;46511;;;;;;;;;;
1;AWS;62;328;108311;67977;40334;;;;;;;;;;
